Beach Name,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Measurement Timestamp,Battery Life,Measurement ID,Measurement Timestamp Label
Ohio Street Beach,17.3,1.94,,0.187,3,05/18/2017 02:00:00 PM,13,OhioStreetBeach201705181400,05/18/2017 2:00 PM
Ohio Street Beach,17.7,1.97,,0.187,3,05/18/2017 03:00:00 PM,13,OhioStreetBeach201705181500,05/18/2017 3:00 PM
Ohio Street Beach,19.2,1.99,,0.187,3,05/18/2017 04:00:00 PM,13,OhioStreetBeach201705181600,05/18/2017 4:00 PM
Ohio Street Beach,19,2.29,,0.187,3,05/18/2017 05:00:00 PM,12.9,OhioStreetBeach201705181700,05/18/2017 5:00 PM
Ohio Street Beach,18.5,2.1,,0.187,3,05/18/2017 06:00:00 PM,12.9,OhioStreetBeach201705181800,05/18/2017 6:00 PM
Ohio Street Beach,18.3,2.1,,0.187,3,05/18/2017 07:00:00 PM,12.9,OhioStreetBeach201705181900,05/18/2017 7:00 PM
Ohio Street Beach,18.2,2.49,,0.187,3,05/18/2017 08:00:00 PM,12.8,OhioStreetBeach201705182000,05/18/2017 8:00 PM
Ohio Street Beach,18.1,4.54,,0.187,3,05/18/2017 09:00:00 PM,12.8,OhioStreetBeach201705182100,05/18/2017 9:00 PM
Ohio Street Beach,17.4,5.58,,0.187,3,05/18/2017 10:00:00 PM,12.8,OhioStreetBeach201705182200,05/18/2017 10:00 PM
Ohio Street Beach,16.8,7.83,,0.187,3,05/18/2017 11:00:00 PM,12.7,OhioStreetBeach201705182300,05/18/2017 11:00 PM
Ohio Street Beach,16.7,6.64,,0.187,3,05/19/2017 12:00:00 AM,12.7,OhioStreetBeach201705192400,05/19/2017 12:00 AM
Ohio Street Beach,16.4,8.06,,0.187,3,05/19/2017 01:00:00 AM,12.7,OhioStreetBeach201705190100,05/19/2017 1:00 AM
Ohio Street Beach,15.5,9.38,,0.187,3,05/19/2017 02:00:00 AM,12.7,OhioStreetBeach201705190200,05/19/2017 2:00 AM
Ohio Street Beach,15.2,9.33,,0.187,3,05/19/2017 03:00:00 AM,12.6,OhioStreetBeach201705190300,05/19/2017 3:00 AM
Ohio Street Beach,13.7,11.54,,0.187,3,05/19/2017 04:00:00 AM,12.6,OhioStreetBeach201705190400,05/19/2017 4:00 AM
Ohio Street Beach,13.4,13.7,,0.187,3,05/19/2017 05:00:00 AM,12.6,OhioStreetBeach201705190500,05/19/2017 5:00 AM
Ohio Street Beach,13.4,14.18,,0.187,3,05/19/2017 06:00:00 AM,12.6,OhioStreetBeach201705190600,05/19/2017 6:00 AM
Ohio Street Beach,13.3,14.05,,0.187,3,05/19/2017 07:00:00 AM,12.6,OhioStreetBeach201705190700,05/19/2017 7:00 AM
Ohio Street Beach,13.3,15.06,,0.187,3,05/19/2017 08:00:00 AM,12.5,OhioStreetBeach201705190800,05/19/2017 8:00 AM
Ohio Street Beach,13.2,16.37,,0.187,3,05/19/2017 09:00:00 AM,12.5,OhioStreetBeach201705190900,05/19/2017 9:00 AM
Ohio Street Beach,13.2,13.2,,0.187,3,05/19/2017 10:00:00 AM,12.5,OhioStreetBeach201705191000,05/19/2017 10:00 AM
Ohio Street Beach,13.5,17.14,,0.187,3,05/19/2017 11:00:00 AM,12.5,OhioStreetBeach201705191100,05/19/2017 11:00 AM
Ohio Street Beach,13.5,13.16,,0.187,3,05/19/2017 12:00:00 PM,12.5,OhioStreetBeach201705191200,05/19/2017 12:00 PM
Ohio Street Beach,13.5,13.06,,0.187,3,05/19/2017 01:00:00 PM,12.5,OhioStreetBeach201705191300,05/19/2017 1:00 PM
Ohio Street Beach,13.6,15.32,,0.187,3,05/19/2017 02:00:00 PM,12.4,OhioStreetBeach201705191400,05/19/2017 2:00 PM
Ohio Street Beach,13.5,15.51,,0.187,3,05/19/2017 03:00:00 PM,12.4,OhioStreetBeach201705191500,05/19/2017 3:00 PM
Ohio Street Beach,13.3,15.68,,0.187,3,05/19/2017 04:00:00 PM,12.4,OhioStreetBeach201705191600,05/19/2017 4:00 PM
Ohio Street Beach,13.3,16.72,,0.187,3,05/19/2017 05:00:00 PM,12.4,OhioStreetBeach201705191700,05/19/2017 5:00 PM
Ohio Street Beach,13.3,18.93,,0.187,3,05/19/2017 06:00:00 PM,12.4,OhioStreetBeach201705191800,05/19/2017 6:00 PM
Ohio Street Beach,13.3,18.17,,0.187,3,05/19/2017 07:00:00 PM,12.4,OhioStreetBeach201705191900,05/19/2017 7:00 PM
Ohio Street Beach,13.2,14.1,,0.187,3,05/19/2017 08:00:00 PM,12.3,OhioStreetBeach201705192000,05/19/2017 8:00 PM
Ohio Street Beach,13.2,13.54,,0.187,3,05/19/2017 09:00:00 PM,12.3,OhioStreetBeach201705192100,05/19/2017 9:00 PM
Ohio Street Beach,13.3,12.41,,0.187,3,05/19/2017 10:00:00 PM,12.3,OhioStreetBeach201705192200,05/19/2017 10:00 PM
Ohio Street Beach,13.2,13.58,,0.187,3,05/19/2017 11:00:00 PM,12.3,OhioStreetBeach201705192300,05/19/2017 11:00 PM
Ohio Street Beach,13.4,10.36,,0.187,3,05/20/2017 12:00:00 AM,12.3,OhioStreetBeach201705202400,05/20/2017 12:00 AM
Ohio Street Beach,13.3,11.67,,0.187,3,05/20/2017 01:00:00 AM,12.3,OhioStreetBeach201705200100,05/20/2017 1:00 AM
Ohio Street Beach,13.3,10.18,,0.187,3,05/20/2017 02:00:00 AM,12.3,OhioStreetBeach201705200200,05/20/2017 2:00 AM
Ohio Street Beach,13.1,10.87,,0.187,3,05/20/2017 03:00:00 AM,12.3,OhioStreetBeach201705200300,05/20/2017 3:00 AM
Ohio Street Beach,13.2,9.52,,0.187,3,05/20/2017 04:00:00 AM,12.2,OhioStreetBeach201705200400,05/20/2017 4:00 AM
Ohio Street Beach,13.2,9.38,,0.187,3,05/20/2017 05:00:00 AM,12.2,OhioStreetBeach201705200500,05/20/2017 5:00 AM
Ohio Street Beach,13.2,9.39,,0.187,3,05/20/2017 06:00:00 AM,12.2,OhioStreetBeach201705200600,05/20/2017 6:00 AM
Ohio Street Beach,13.2,9.15,,0.187,3,05/20/2017 07:00:00 AM,12.2,OhioStreetBeach201705200700,05/20/2017 7:00 AM
Ohio Street Beach,13.2,9.91,,0.187,3,05/20/2017 08:00:00 AM,12.2,OhioStreetBeach201705200800,05/20/2017 8:00 AM
Ohio Street Beach,13.2,10.49,,0.187,3,05/20/2017 09:00:00 AM,12.2,OhioStreetBeach201705200900,05/20/2017 9:00 AM
Ohio Street Beach,13.2,9.62,,0.187,3,05/20/2017 10:00:00 AM,12.2,OhioStreetBeach201705201000,05/20/2017 10:00 AM
Ohio Street Beach,13.3,7.79,,0.187,3,05/20/2017 11:00:00 AM,12.2,OhioStreetBeach201705201100,05/20/2017 11:00 AM
Ohio Street Beach,13.3,8.26,,0.187,3,05/20/2017 12:00:00 PM,12.1,OhioStreetBeach201705201200,05/20/2017 12:00 PM
Ohio Street Beach,13.3,7.54,,0.187,3,05/20/2017 01:00:00 PM,12.1,OhioStreetBeach201705201300,05/20/2017 1:00 PM
Ohio Street Beach,13.4,7.81,,0.187,3,05/20/2017 02:00:00 PM,12.1,OhioStreetBeach201705201400,05/20/2017 2:00 PM
Ohio Street Beach,13.5,7.59,,0.187,3,05/20/2017 03:00:00 PM,12.1,OhioStreetBeach201705201500,05/20/2017 3:00 PM
Ohio Street Beach,13.5,7.34,,0.187,3,05/20/2017 04:00:00 PM,12.1,OhioStreetBeach201705201600,05/20/2017 4:00 PM
Ohio Street Beach,13.5,7.88,,0.187,3,05/20/2017 05:00:00 PM,12.1,OhioStreetBeach201705201700,05/20/2017 5:00 PM
Ohio Street Beach,13.5,7.83,,0.187,3,05/20/2017 06:00:00 PM,12.1,OhioStreetBeach201705201800,05/20/2017 6:00 PM
Ohio Street Beach,13.5,6.97,,0.187,3,05/20/2017 07:00:00 PM,12.1,OhioStreetBeach201705201900,05/20/2017 7:00 PM
Ohio Street Beach,13.4,7.08,,0.187,3,05/20/2017 08:00:00 PM,12.1,OhioStreetBeach201705202000,05/20/2017 8:00 PM
Ohio Street Beach,13.4,6.84,,0.187,3,05/20/2017 09:00:00 PM,12.1,OhioStreetBeach201705202100,05/20/2017 9:00 PM
Ohio Street Beach,13.4,6.63,,0.187,3,05/20/2017 10:00:00 PM,12,OhioStreetBeach201705202200,05/20/2017 10:00 PM
Ohio Street Beach,13.4,6.42,,0.187,3,05/20/2017 11:00:00 PM,12,OhioStreetBeach201705202300,05/20/2017 11:00 PM
Ohio Street Beach,13.4,6.28,,0.187,3,05/21/2017 12:00:00 AM,12,OhioStreetBeach201705212400,05/21/2017 12:00 AM
Ohio Street Beach,13.5,6.82,,0.187,3,05/21/2017 03:00:00 AM,12,OhioStreetBeach201705210300,05/21/2017 3:00 AM
Ohio Street Beach,13.5,6.84,,0.187,3,05/21/2017 04:00:00 AM,12,OhioStreetBeach201705210400,05/21/2017 4:00 AM
Ohio Street Beach,13.6,6.47,,0.187,3,05/21/2017 05:00:00 AM,12,OhioStreetBeach201705210500,05/21/2017 5:00 AM
Ohio Street Beach,13.5,6.24,,0.187,3,05/21/2017 06:00:00 AM,12,OhioStreetBeach201705210600,05/21/2017 6:00 AM
Ohio Street Beach,13.6,5.72,,0.187,3,05/21/2017 07:00:00 AM,12,OhioStreetBeach201705210700,05/21/2017 7:00 AM
Ohio Street Beach,13.7,4.95,,0.187,3,05/21/2017 08:00:00 AM,12,OhioStreetBeach201705210800,05/21/2017 8:00 AM
Ohio Street Beach,14,5.6,,0.187,3,05/21/2017 09:00:00 AM,12,OhioStreetBeach201705210900,05/21/2017 9:00 AM
Ohio Street Beach,14.4,5.9,,0.187,3,05/21/2017 10:00:00 AM,11.9,OhioStreetBeach201705211000,05/21/2017 10:00 AM
Ohio Street Beach,14.9,5.43,,0.187,3,05/21/2017 11:00:00 AM,11.9,OhioStreetBeach201705211100,05/21/2017 11:00 AM
Ohio Street Beach,15.3,5.52,,0.187,3,05/21/2017 12:00:00 PM,11.9,OhioStreetBeach201705211200,05/21/2017 12:00 PM
