COMPLAINT ID,COMPLAINT TYPE,ADDRESS,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION
600934268,NOISE COMPLAINT,3833 N CICERO AVE,3833,,N,CICERO,AVE,129151,01/04/2021,NOISE COMING FROM AIR CONDITIONER OR INDUSTRIAL COMMERCIAL EAUIPMENT.,"[INSPECTION LOG #: 13203087 05-JAN-21 11:25:00] ON JANUARY 4, 2021 CITY OF CHICAGO DEPARTMENT OF PUBLIC HEALTH INSPECTOR TIFFANY WILLIAMS RESPONDED TO A CITIZEN COMPLAINT OF NOISE AT 3833 N CICERO. UPON ARRIVAL THE INSPECTOR OBSERVED THE ADDRESS TO BE A OFFICE SPACE FOR ALERT PROTECTIVE SERVICES INC. THE INSPECTOR DID NOT HEAR ANY OBVIOUS NOISE OR MECHANICAL SOUNDS. THE INSPECTOR CANVASSED THE BLOCK AND OBSERVED A STRIP MALL TO THE EAST OF THE ADDRESS THAT HOUSES A CLEANERS AND DUNKIN DONUTS. THE EXHAUST COULD BE HEARD FROM THE CLEANERS AT STREET LEVEL HOWEVER IT WAS NOT OVERBEARING. A CALL TO THE COMPLAINANT FOR FURTHER INFORMATION WENT UNANSWERED.",DEPT. OF PUBLIC HEALTH,01/07/2021,41.95077434756486,-87.74709408031734,POINT (-87.74709408031734 41.95077434756486)
600934265,CONSTRUCTION AND DEMOLITION,7729 N EASTLAKE TER,7729,,N,EASTLAKE,TER,426532,01/04/2021,SOMEONE LEFT PROPANE TANKS BEHIND THE FENCE OF CONSTRUCTION SITE.,"[INSPECTION LOG #: 13198619 04-JAN-21 12:15:00] ON JANUARY 4, 2021, SENIOR ENVIRONMENTAL INSPECTOR DONAVAN TIETJE PERFORMED A COMPLAINT INSPECTION AT 7731 N EASTLAKE TERRACE. THE COMPLAINT WAS IN REGARDS TO PROPANE TANKS BEING ON THE LISTED PROPERTY. THE LISTED ADDRESS IS UNDERGOING RENOVATION. TWO LARGE PROPANE TANKS WERE STORED BEHIND THE FENCE ON SITE. THE TANKS WERE PROPERLY SECURED AND BEING USED AT THE TIME OF THE INSPECTION. NO VIOLATIONS WERE NOTED AT THE TIME OF THE INSPECTION.",DEPT. OF PUBLIC HEALTH,01/07/2021,42.02173510759831,-87.66525533056227,POINT (-87.66525533056227 42.02173510759831)
600934258,CONSTRUCTION AND DEMOLITION,2747 N LINCOLN AVE,2747,,N,LINCOLN,AVE,417337,01/04/2021,CONSTRUCTION SITE ALLEGEDLY DIGGING OUTSIDE OF THE LOT LINE.,"[INSPECTION LOG #: 13206578 04-JAN-21 15:15:00] SEE INSPECTION 1639483, ADDRESSED 2745 N LINCOLN AV.",DEPT. OF PUBLIC HEALTH,01/07/2021,41.93181780668728,-87.65746062590584,POINT (-87.65746062590584 41.93181780668728)
600934250,AIR POLLUTION WORK ORDER,1019 W 83RD ST,1019,,W,83RD,ST,10937,01/04/2021,CALLER DOES NOT SEEM TO KNOW WHAT'S WRONG WITH THE AIR IN HER APARTMENT.,"[INSPECTION LOG #: 13195371 04-JAN-21 10:00:00] CHICAGO DEPARTMENT OF PUBLIC HEALTH RESPONDED TO A CITIZENS COMPLAINT REGARDING THE AIR QUALITY IN THEIR APARTMENT. THE CDPH ENVIRONMENTAL ENGINEER CALLED THE COMPLAINANT, WHOM ADDRESSED THAT THERE WAS SEWAGE ODORS COMING FROM THE BASEMENT OF THE BUILDING, GOING INTO HER APARTMENT.. SHE FURTHER STATED, SHE WAS HAVING ISSUES WITH BREATHING FROM THE ODORS. DUE TO THIS BEING CONTAINED WITHIN THE APARTMENT, THE ENGINEER INSTRUCTED HER TO CONTACT HER LANDLORD AS IT APPEARS TO BE AN ISSUE WITH THE BUILDING; ADDITIONALLY, DIRECT HER 311 COMPLAINT TO BOTH THE BUILDINGS DEPARTMENT AND/OR THE DEPARTMENT OF SEWERS. NO PHOTOS OR SITE SKETCH NEEDED.",DEPT. OF PUBLIC HEALTH,01/07/2021,41.74316604413901,-87.64950031799123,POINT (-87.64950031799123 41.74316604413901)
600934911,AIR POLLUTION WORK ORDER,4700 S COTTAGE GROVE AVE,4700,,S,COTTAGE GROVE,AVE,10937,01/05/2021,FUMES FROM RESTAURANT ARE GETTING INTO THE BUILDING SMELLS LIKE GREASE/CORRECT ADDRESS 818 E. 47TH STREET,[INSPECTION LOG #: 13217980 06-JAN-21 15:20:00] CHICAGO DEPARTMENT OF PUBLIC HEALTH ENVIRONMENTAL ENGINEERS PERFORMED A FOLLOW UP INSPECTION AT THE POPEYE'S LOCATED AT 818 E 47TH STREET TO DOUBLE CHECK THE VALIDITY OF THE COMPLAINT. THE INITIAL COMPLAINT WAS REGARDING CHICKEN GREASE COOKING SMELLS GETTING INTO A RESIDENTIAL BUILDING. UPON ARRIVAL THE ENGINEERS CANVASSED THE SURROUNDING AREA AND DID NOT OBSERVE ANY VISIBLE EMISSIONS EMITTING FROM THE POPEYES. THE CHICKEN COOKING ODORS WERE OBSERVED RIGHT OUTSIDE THE FRONT ENTRANCE OF THE RESTAURANT BUT NOT THE SURROUNDING AREA. FOLLOW UP INSPECTIONS WILL NOT PERFORMED WITHOUT ADDITIONAL COMPLAINTS.,DEPT. OF PUBLIC HEALTH,01/06/2021,41.809485427538256,-87.60671081843334,POINT (-87.60671081843334 41.809485427538256)
600934915,AIR POLLUTION WORK ORDER,8918 S GREENWOOD AVE,8918,,S,GREENWOOD,AVE,10937,01/05/2021,ONGOING ISSUE SEVERAL MONTHS BUSINESS LEAVING THEIR LOCOMOTIVE TRAINS RUNNING/IDLING 24/7 THE ENGINES SMOKE GOING THROUGHOUT THE AREA. THERE HAVE BEEN TIME WHEN AREA HAVE BEEN LEFT UNATTENDED.,"[INSPECTION LOG #: 13210562 05-JAN-21 12:45:00] CHICAGO DEPARTMENT OF PUBLIC HEALTH ENVIRONMENTAL ENGINEERS RESPONDED TO A CITIZEN?S COMPLAINT AT 8919 S GREENWOOD AVE. REGARDING ?ONGOING ISSUE WHERE A FACILITY IS LEAVING THEIR LOCOMOTIVE TRAINS RUNNING / IDLING 24/7, THE ENGINES SMOKE GOING THROUGHOUT THE AREA?.UPON ARRIVAL, ON JANUARY 5, 2021 AT THE PREVIOUSLY MENTIONED ADDRESS, THE ENGINEERS CALLED THE COMPLAINANT. THE COMPLAINANT EXPLAINED THAT THE FACILITY IS OPERATING DIESEL LOCOMOTIVE TRAINS AND LETTING THEM RUN IDLE, ALLOWING THE EXHAUST PLUMES TO DRIFT INTO THE SURROUNDING NEIGHBORHOOD. THE COMPLAINANT HAS SENT SEVERAL LETTERS TO THE CITY TO INCLUDE SPEAKING WITH THE ALDERMAN.MARIGOLD IS THE COMPANY LOCATED AT THE 8918 S. GREENWOOD AVE. THEY TRANSFER PRODUCT FROM RAILCARS TO STORAGE TANKS. THEY MAKE SUCROSE, AND THEN TRANSFER THIS PRODUCT TO SEMI-TRUCKS FOR FURTHER DISTRIBUTION. THE ENVIRONMENTAL ENGINEERS SPOKE WITH KIRK, THE MANAGER ON DUTY. HE SAID THEY ARE A 24 HOUR/ 5 DAYS A WEEK OPERATION, WORKING WEEKENDS AS NEEDED. THEY HAVE A LOCOMOTIVE ON SITE, OWNED AND OPERATED BY RBRM RAIL COMPANY, BUT USED BY MARIGOLD TO SHUFFLE RAILCARS AROUND ON THEIR RAIL YARD. THE LOCOMOTIVE IS USED EVERY DAY FOR MOVING THE RAILCARS AND MAY OPERATE FOR 30 MINUTES UP TO A FEW HOURS AT A TIME. THE LOCOMOTIVE IS PARKED ON THE WEST SIDE OF THE PROPERTY AND IS EQUIPPED WITH AN ?AUTO RESTART?. THIS AUTO RESTART IS THEIR MITIGATION DEVICE FOR REDUCING THE DIESEL EXHAUST FUMES. FURTHERMORE, SEMI-TRUCKS ARE ARRIVING THROUGHOUT THE DAY, SOMETIMES IDLING WHILE THEY WAIT FOR TRAILERS TO BE LOADED. HOWEVER, KIRK SAID THAT ALL SEMI-TRUCK DRIVERS ARE INSTRUCTED TO PARK IN THE NORTH LOT IF THEY ARE GOING TO LEAVE THEIR TRUCKS IDLING.THE ENGINEERS OBSERVED FROM 12:24PM TO 12:40 A LOCOMOTIVE BRINING RAILCARS ONTO THE YARD AND SWITCHING SOME OF THE CARS TO DIFFERENT TRACKS. THEY DID NOT OBSERVE ANY VISIBLE EMISSIONS FROM THE LOCOMOTIVE AND ONLY SLIGHT ODORS OF DIESEL. THE ENGINEERS WILL REVIEW WITH MANAGEMENT FOR POTENTIAL FURTHER ACTIONS.",DEPT. OF PUBLIC HEALTH,01/06/2021,41.73249598864259,-87.59759585223719,POINT (-87.59759585223719 41.73249598864259)
600934913,CONSTRUCTION AND DEMOLITION,433 W ARMITAGE AVE,433,,W,ARMITAGE,AVE,426532,01/05/2021,CONSTRUCTION NEARBY IS CONSTANTLY BLOCKING THE ALLEY EXITS AND SOMETIME THE ALLEY SO WE CAN'T GET OUT OR IN ALMOST EVERY WORK DAY.,"[INSPECTION LOG #: 13207577 05-JAN-21 12:15:00] ON JANUARY 5, 2021, SENIOR ENVIRONMENTAL INSPECTOR DONAVAN TIETJE PERFORMED A COMPLAINT INSPECTION AT 433 W ARMITAGE. THE COMPLAINT WAS IN REGARDS TO CONSTRUCTION WORKERS BLOCKING THE ALLEY AT THE ADDRESS. AT THE TIME OF THE INSPECTION, NO WORK WAS BEING DONE IN THE AREA AND THE ALLEY WAS CLEAR. NO CONTACT INFORMATION WAS LEFT BY THE COMPLAINANT. NO CITATIONS WERE ISSUED AT THE TIME OF THE INSPECTION",DEPT. OF PUBLIC HEALTH,01/06/2021,41.91819259589552,-87.64008742396915,POINT (-87.64008742396915 41.91819259589552)
600934924,AIR POLLUTION WORK ORDER,8918 S GREENWOOD AVE,8918,,S,GREENWOOD,AVE,10937,01/05/2021,ONGOING ISSUE SEVERAL MONTHS FACILITY LEAVING THEIR LOCOMOTIVE TRAINS RUNNING/IDLING 24/7 THE ENGINES SMOKE GOING THROUGHOUT THE AREA. THERE HAVE BEEN TIMES WHEN AREA HAVE BEEN LEFT UNATTENDED.,[INSPECTION LOG #: 13210663 05-JAN-21 12:45:00] DUPLICATE SEE INSPECTION NUMBER 600934915,DEPT. OF PUBLIC HEALTH,01/06/2021,41.73249598864259,-87.59759585223719,POINT (-87.59759585223719 41.73249598864259)
600934915,AIR POLLUTION WORK ORDER,8918 S GREENWOOD AVE,8918,,S,GREENWOOD,AVE,10937,01/05/2021,ONGOING ISSUE SEVERAL MONTHS BUSINESS LEAVING THEIR LOCOMOTIVE TRAINS RUNNING/IDLING 24/7 THE ENGINES SMOKE GOING THROUGHOUT THE AREA. THERE HAVE BEEN TIME WHEN AREA HAVE BEEN LEFT UNATTENDED.,"[INSPECTION LOG #: 13220706 07-JAN-21 12:55:00] CHICAGO DEPARTMENT OF PUBLIC HEALTH (CDPH) ENVIRONMENTAL ENGINEER CALLED THE COMPLAINANT BACK TO FOLLOW UP ON THE PREVIOUS INSPECTION, COMPLAINANT DID NOT ANSWER AT THIS TIME. RECEIVED A CALL BACK AT 12:40PM. THE ENGINEER INFORMED THE COMPLAINANT THAT MARIGOLD HAS A LOCOMOTIVE, OPERATED BY RBRM, BUT USED BY MARIGOLD TO MOVE RAILCARS ON THEIR PROPERTY. I FURTHER INFORMED THE COMPLAINANT THAT THE LOCOMOTIVE ON SITE HAD A MALFUNCTION WITH THE RESTART SYSTEM CAUSING IT TO RUN CONTINUOUSLY, HOWEVER MARIGOLD HAS RECENTLY FIXED THE ISSUE. I THEN INFORMED THE COMPLAINANT THAT DURING OUR INSPECTION, WE DID NOT OBSERVE ANY VISIBLE EMISSIONS FROM THE LOCOMOTIVE OR OVERWHELMING EXHAUST FUMES. FURTHERMORE, THE CITY OF CHICAGO DOES NOT HAVE AN ORDINANCE RELATED TO LOCOMOTIVE ENGINES AND RAIL CAR OPERATIONS. THE COMPLAINANT DID NOT WANT TO ACCEPT THE FINDINGS OF THE INSPECTION, AND SAID THAT THIS PHONE CONVERSATION WAS BEING RECORDED, AND WANTED TO DIVERT THE COMPLAINT TO NOISE ISSUES ON THE SITE. THE ENGINEER INFORMED THE COMPLAINANT THAT LOADING AND UNLOADING NOISE IS HANDLED BY THE CHICAGO POLICE DEPARTMENT. THE ENGINEER RESTATED THAT THE CITY OF CHICAGO DOES NOT HAVE ANY ORDINANCES REGULATING LOCOMOTIVE ENGINES AND RAIL CAR OPERATIONS AND CAN FOLLOW UP WITH THE ALDERMAN WITH ANY FURTHER GUIDANCE.",DEPT. OF PUBLIC HEALTH,01/06/2021,41.73249598864259,-87.59759585223719,POINT (-87.59759585223719 41.73249598864259)
600934940,NOISE COMPLAINT,8537 S ASHLAND AVE,8537,,S,ASHLAND,AVE,129151,01/05/2021,VACANT LOT EARL PROPERTY AND PRESERVATION NOISE OCCURRING BETWEEN 8 PM - 8 AM.,"[INSPECTION LOG #: 13210641 05-JAN-21 12:15:00] ON JANUARY 5, 2020 CITY OF CHICAGO DEPARTMENT OF PUBLIC HEALTH INSPECTOR TIFFANY WILLIAMS RESPONDED TO A CITIZEN COMPLAINT OF LATE NIGHT NOISE AT A VACANT LOT AT 8537 S ASHLAND. THE INSPECTOR OBSERVED THE LOT WITH PALLETS OF UNKNOWN MATERIAL STACKED AND SEVERAL SHOVELS AND A BACKHOE ON THE SITE. THERE WAS NO SIGNAGE OR IDENTIFIERS PRESENT AND NO NOISE PRESENT AT THE TIME OF THE INSPECTION.",DEPT. OF PUBLIC HEALTH,01/06/2021,41.7383268645716,-87.66298360843302,POINT (-87.66298360843302 41.7383268645716)
