name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago temps,2021-01-01,61.3,32.1,46.5,61.3,27.6,44.4,33,64.2,0,0,0,,0,0,16.1,14.6,310.2,1018.3,12.7,9.7,169.9,14.7,7,,2021-01-01T07:28:43,2021-01-01T17:55:24,0.53,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-02,64.2,36,48.9,64.2,32.1,47.3,31.8,57.6,0,0,0,,0,0,,9.2,312.4,1024,1.1,9.5,195.2,16.8,7,,2021-01-02T07:28:57,2021-01-02T17:56:06,0.56,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-03,76.7,37.1,56.5,76.7,37.1,55.4,37.5,55.1,0,0,0,,0,0,18.3,11.3,159.6,1019.3,0,9.8,189.5,16.3,7,,2021-01-03T07:29:10,2021-01-03T17:56:49,0.6,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-04,81.1,45.5,60.6,79.2,44.9,60.2,42,61.2,0,0,0,,0,0,,9,72.2,1017.7,6.7,7.9,188.6,16.2,7,,2021-01-04T07:29:22,2021-01-04T17:57:32,0.65,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-05,77.1,43.1,59,77.1,40.2,58.4,47.4,66.3,0,0,0,,0,0,16.1,11,177.1,1017.4,2.1,9.9,127.6,10.9,5,,2021-01-05T07:29:32,2021-01-05T17:58:16,0.7,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-06,73.2,58.9,65.4,73.2,58.9,65.4,50.1,63.9,0,0,0,,0,0,36.6,25,330.6,1015.3,44.3,9.5,122.6,10.6,5,,2021-01-06T07:29:40,2021-01-06T17:59:00,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-07,71.2,44.1,56.8,71.2,39.5,55.8,28.4,38.2,0,0,0,,0,0,,9.1,334.2,1021.2,0,9.9,200.7,17.3,7,,2021-01-07T07:29:47,2021-01-07T17:59:45,0.82,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,KAPY,72058400181"
chicago temps,2021-01-08,66.9,39.9,52.5,66.9,35.1,50.9,30.5,45.4,0,0,0,,0,0,,13.7,68.9,1024.2,0,9.4,200.6,17.2,7,,2021-01-08T07:29:52,2021-01-08T18:00:31,0.87,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,KAPY,72058400181"
chicago temps,2021-01-09,52.2,41.1,46.6,52.2,35.7,43.5,38.3,73.5,0,0,0,,0,0,,12.6,57.9,1024,81.5,9.3,30.2,2.5,1,,2021-01-09T07:29:56,2021-01-09T18:01:17,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLRD,HVLT2,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-10,49,42.2,45.8,46.6,34.8,40.3,43.6,92.2,0.186,100,41.67,rain,0,0,24.4,18.3,5.9,1022.6,100,6.4,40.5,3.6,2,,2021-01-10T07:29:59,2021-01-10T18:02:03,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-11,53.1,32.2,42.7,53.1,25.8,38.7,31.9,67.8,0,0,0,,0,0,20.7,14.9,345.6,1031.1,18.9,9.8,196.5,17,7,,2021-01-11T07:29:59,2021-01-11T18:02:50,0.99,Clear,Clear conditions throughout the day.,clear-day,"KLRD,76286399999,HVLT2,72252012907,KAPY,72058400181"
chicago temps,2021-01-12,50.1,32.3,40.4,50.1,29.1,39.2,33.1,76.9,0,0,0,,0,0,,6.7,50.8,1030,48.1,9.2,86.6,7.4,4,,2021-01-12T07:29:58,2021-01-12T18:03:37,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-13,65.1,30,45.8,65.1,25.2,44.7,34.1,68.7,0,0,0,,0,0,,8,170.4,1023.8,8.5,9.9,170.8,14.8,7,,2021-01-13T07:29:56,2021-01-13T18:04:25,0,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,KAPY,72058400181"
chicago temps,2021-01-14,82.2,35,58,79.8,35,57,33.7,49.2,0,0,0,,0,0,28.9,18.3,337.7,1015.1,0,9.8,202.9,17.5,7,,2021-01-14T07:29:52,2021-01-14T18:05:12,0.01,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-15,63.1,38.8,52.2,63.1,35.1,51.2,23.8,38.3,0,0,0,,0,0,,10.2,343,1022.4,0,9.8,210,18.1,8,,2021-01-15T07:29:47,2021-01-15T18:06:00,0.03,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-16,73.1,30.8,52.3,73.1,30.8,52.3,24.7,40.9,0,0,0,,0,0,20.7,17,137.6,1019.9,6.4,9.4,213.2,18.3,8,,2021-01-16T07:29:40,2021-01-16T18:06:49,0.06,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-17,71.6,44.2,56.6,71.6,39.7,55.4,41.8,58.9,0,0,0,,0,0,,11.3,57.2,1018.4,0.1,9.8,163.3,14.1,7,,2021-01-17T07:29:31,2021-01-17T18:07:37,0.1,Clear,Clear conditions throughout the day.,clear-day,"KLRD,HVLT2,76286399999,72252012907,KAPY,72058400181"
chicago temps,2021-01-18,81,49.9,64,80.6,47.8,63.8,54.3,75.5,0,0,0,,0,0,26.4,19.5,148.8,1014.3,23.2,7.7,188.2,16.3,7,,2021-01-18T07:29:21,2021-01-18T18:08:26,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-19,73.4,57.1,65.4,73.4,57.1,65.4,61.2,86.9,0.137,100,16.67,rain,0,0,17.2,15.9,99.8,1017.7,72.9,9.1,37.1,3.3,1,,2021-01-19T07:29:09,2021-01-19T18:09:14,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLRD,HVLT2,76286399999,72252012907,KAPY,72058400181"
chicago temps,2021-01-20,57.8,50,52.8,57.8,46,52.6,52.1,97.5,0.154,100,33.33,rain,0,0,16.1,15.9,331,1024.5,100,6.5,42.9,3.6,2,,2021-01-20T07:28:56,2021-01-20T18:10:03,0.23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KLRD,HVLT2,76286399999,72252012907,MMNL,KAPY,72058400181"
chicago temps,2021-01-21,63,53.1,57.2,63,53.1,57.2,53.6,88.1,0,0,0,,0,0,,6.9,1,1017.2,99.6,9.1,51.1,4.6,3,,2021-01-21T07:28:41,2021-01-21T18:10:52,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"KLRD,HVLT2,76286399999,72252012907,KAPY,72058400181"
